"Animal.ID","Animal.Name","Species","Gender","Date.Of.Birth","Primary.Breed","Secondary.Breed","Declawed","Distinguishing.Markings","Purebred","BodyWeight","BodyWeightUnit","PrimaryColor","SecondaryColor","ColorPattern","Intake.Date","Intake.Type","Intake.Subtype","Reason","Reason.Category"
2439347,"Charlie","Cat","M","5/15/2000","Domestic Shorthair","Mix","Front","",0,15,"pound","Black",NA,NA,"05/14/2007 11:54:33","Owner/Guardian Surrender","Walk In","Owner Died","Owner problem"
2443126,"Apollo","Cat","M","5/16/2003","Siamese","Mix","Front","white stripe on nose",0,14.75,"pound","Cream","Chocolate","Point","05/15/2007 11:53:16","Owner/Guardian Surrender","Walk In","Allergic to Pet","Owner problem"
2449558,"Dominio","Cat","M","5/16/2005","Domestic Shorthair","Mix","Front","",0,14,"pound","Black","White",NA,"08/09/2007 14:26:19","Owner/Guardian Surrender","Walk In","Cost","Owner problem"
3058473,"Pogo","Cat","M","8/26/2003","Domestic Shorthair","Mix","Front","",0,12.25,"pound","Orange","Orange",NA,"08/25/2007 12:24:42","Owner/Guardian Surrender","Walk In","Owner Died","Owner problem"
3065644,"casper","Cat","M","6/29/2007","Domestic Shorthair","Mix","None","",0,2.25,"pound","White","Grey",NA,"08/27/2007 14:36:31","Stray","Walk In","",NA
3368649,"tiger kitten","Cat","M","7/26/2007","Domestic Shorthair","Mix","None","",0,1.75,"pound","Brown","Black","Tiger","09/24/2007 17:09:10","Owner/Guardian Surrender","Walk In","Moving","Owner problem"
3518512,"Anthony","Cat","M","9/30/2002","Domestic Shorthair","Mix","Front","",0,16.5,"pound","Black","White",NA,"09/29/2007 12:56:14","Owner/Guardian Surrender","Walk In","Litter Box Odor","Owner problem"
3566219,"Spirit","Cat","F","10/31/1993","Domestic Longhair","Mix","Front","",0,11,"pound","Black","Brown","Tiger","10/02/2007 14:22:29","Owner/Guardian Surrender","Walk In","Owner Problems","Owner problem"
1038424,"Mitzie","Cat","F","8/8/1999","Domestic Shorthair","Mix","None","",0,8.5,"pound","Brown","White","Tiger","10/26/2007 12:59:33","Owner/Guardian Surrender","Walk In","Divorce","Owner problem"
3992932,"Speedy","Cat","M","4/16/2007","Domestic Shorthair","Mix","Front","",0,14.5,"pound","Brown","White","Tiger","12/12/2007 16:37:34","Owner/Guardian Surrender","Walk In","Cost","Owner problem"
4067031,"Benny","Cat","M","1/7/2004","Domestic Shorthair","Mix","Front","",0,18,"pound","Orange","White","Tiger","01/06/2008 13:20:38","Owner/Guardian Surrender","Walk In","Allergic to Pet","Owner problem"
2053607,"Milo","Cat","F","3/18/1997","Domestic Medium Hair","Mix","Front","",0,13.5,"pound","Grey",NA,NA,"01/07/2008 14:50:45","Owner/Guardian Surrender","Walk In","Owner Problems","Owner problem"
4222898,"Buttercup","Cat","F","2/20/2002","Domestic Shorthair","Mix","Front","",0,15.5,"pound","Brown","Buff","Tiger","02/19/2008 15:14:53","Owner/Guardian Surrender","Walk In","Allergic to Pet","Owner problem"
4239905,"Abigail","Cat","F","2/24/2002","Domestic Longhair","Mix","Front","",0,13.5,"pound","Black","Chestnut","Tortoiseshell","02/23/2008 14:29:03","Owner/Guardian Surrender","Walk In","Fearful","Behavior other"
4261084,"Sunshine","Cat","F","3/2/2000","Domestic Shorthair","Mix","Front","",0,9.75,"pound","Orange","White","Tiger","02/29/2008 09:37:23","Owner/Guardian Surrender","Walk In","Moving","Owner problem"
4361863,"Simon","Cat","M","12/27/2007","Domestic Shorthair","Mix","None","",0,2.9,"pound","Brown","Black","Tiger","03/26/2008 10:32:18","Owner/Guardian Surrender","Schedule","Too Many Pets","Owner problem"
